Vowel,ReferenceFile,TestFile,DTWDistance
a,220108036_a_1.wav,220108036_a_10.wav,5392.48294770121
a,220108036_a_1.wav,220108036_a_11.wav,5902.20741303573
a,220108036_a_1.wav,220108036_a_12.wav,5703.97744696363
a,220108036_a_1.wav,220108036_a_13.wav,5368.70847326059
a,220108036_a_1.wav,220108036_a_14.wav,5266.88643053301
a,220108036_a_1.wav,220108036_a_15.wav,5769.78706548473
a,220108036_a_1.wav,220108036_a_16.wav,5342.58311744764
a,220108036_a_1.wav,220108036_a_17.wav,5676.35322753207
a,220108036_a_1.wav,220108036_a_18.wav,5913.76645216512
a,220108036_a_1.wav,220108036_a_19.wav,5438.17700171552
a,220108036_a_1.wav,220108036_a_2.wav,6402.35373473311
a,220108036_a_1.wav,220108036_a_20.wav,5779.28482920983
a,220108036_a_1.wav,220108036_a_21.wav,6022.52056276794
a,220108036_a_1.wav,220108036_a_22.wav,5207.28040669961
a,220108036_a_1.wav,220108036_a_23.wav,5157.35236687653
a,220108036_a_1.wav,220108036_a_24.wav,5573.83998681636
a,220108036_a_1.wav,220108036_a_25.wav,6051.97584614076
a,220108036_a_1.wav,220108036_a_26.wav,6335.71933574539
a,220108036_a_1.wav,220108036_a_3.wav,5681.8723499521
a,220108036_a_1.wav,220108036_a_4.wav,6027.69823465286
a,220108036_a_1.wav,220108036_a_5.wav,5736.17435841899
a,220108036_a_1.wav,220108036_a_6.wav,5643.81078530835
a,220108036_a_1.wav,220108036_a_7.wav,5556.86806229643
a,220108036_a_1.wav,220108036_a_8.wav,5450.96203210999
a,220108036_a_1.wav,220108036_a_9.wav,6352.53297013117
e,220108036_e_1.wav,220108036_e_10.wav,7216.56288083575
e,220108036_e_1.wav,220108036_e_11.wav,6893.59928190932
e,220108036_e_1.wav,220108036_e_12.wav,6880.70634008509
e,220108036_e_1.wav,220108036_e_13.wav,6455.87534557561
e,220108036_e_1.wav,220108036_e_14.wav,6500.14976466486
e,220108036_e_1.wav,220108036_e_15.wav,6940.72842269805
e,220108036_e_1.wav,220108036_e_16.wav,7061.72412007895
e,220108036_e_1.wav,220108036_e_17.wav,6506.3138009207
e,220108036_e_1.wav,220108036_e_18.wav,6643.52459815537
e,220108036_e_1.wav,220108036_e_19.wav,6640.63224304713
e,220108036_e_1.wav,220108036_e_2.wav,8578.38160788275
e,220108036_e_1.wav,220108036_e_20.wav,6377.59399979029
e,220108036_e_1.wav,220108036_e_21.wav,6333.28884640909
e,220108036_e_1.wav,220108036_e_22.wav,6366.58975588968
e,220108036_e_1.wav,220108036_e_23.wav,6770.8881516651
e,220108036_e_1.wav,220108036_e_24.wav,7222.85534972061
e,220108036_e_1.wav,220108036_e_25.wav,8546.27881767804
e,220108036_e_1.wav,220108036_e_3.wav,7334.44889085601
e,220108036_e_1.wav,220108036_e_4.wav,6431.65051054923
e,220108036_e_1.wav,220108036_e_5.wav,7000.08303891161
e,220108036_e_1.wav,220108036_e_6.wav,6980.05879181693
e,220108036_e_1.wav,220108036_e_7.wav,6569.40264059274
e,220108036_e_1.wav,220108036_e_8.wav,7011.97989216107
e,220108036_e_1.wav,220108036_e_9.wav,6528.13591932176
i,220108036_i_1.wav,220108036_i_10.wav,7132.15417334528
i,220108036_i_1.wav,220108036_i_11.wav,6218.34997723181
i,220108036_i_1.wav,220108036_i_12.wav,6985.39842468451
i,220108036_i_1.wav,220108036_i_13.wav,5860.03990674252
i,220108036_i_1.wav,220108036_i_14.wav,6284.09096768419
i,220108036_i_1.wav,220108036_i_15.wav,6138.44676503278
i,220108036_i_1.wav,220108036_i_16.wav,7304.04733555643
i,220108036_i_1.wav,220108036_i_17.wav,6101.03955859699
i,220108036_i_1.wav,220108036_i_18.wav,5588.52808078457
i,220108036_i_1.wav,220108036_i_19.wav,7247.24631221591
i,220108036_i_1.wav,220108036_i_2.wav,6459.16340997915
i,220108036_i_1.wav,220108036_i_20.wav,6810.80962596137
i,220108036_i_1.wav,220108036_i_21.wav,6679.81981295681
i,220108036_i_1.wav,220108036_i_22.wav,6372.03194591959
i,220108036_i_1.wav,220108036_i_23.wav,7130.85292096011
i,220108036_i_1.wav,220108036_i_24.wav,7188.5032573838
i,220108036_i_1.wav,220108036_i_25.wav,6849.21688745286
i,220108036_i_1.wav,220108036_i_3.wav,5956.46801257073
i,220108036_i_1.wav,220108036_i_4.wav,5844.71515561903
i,220108036_i_1.wav,220108036_i_5.wav,6281.71557746004
i,220108036_i_1.wav,220108036_i_6.wav,6376.4557303683
i,220108036_i_1.wav,220108036_i_7.wav,6398.59025958562
i,220108036_i_1.wav,220108036_i_8.wav,6667.0335148492
i,220108036_i_1.wav,220108036_i_9.wav,7381.15662423423
o,220108036_o_1.wav,220108036_o_10.wav,6726.99729999749
o,220108036_o_1.wav,220108036_o_11.wav,6061.36575788754
o,220108036_o_1.wav,220108036_o_12.wav,5793.28823949526
o,220108036_o_1.wav,220108036_o_13.wav,6374.46218690752
o,220108036_o_1.wav,220108036_o_14.wav,6323.56445334262
o,220108036_o_1.wav,220108036_o_15.wav,5958.39864820324
o,220108036_o_1.wav,220108036_o_16.wav,6384.85969400517
o,220108036_o_1.wav,220108036_o_17.wav,6237.05678893971
o,220108036_o_1.wav,220108036_o_18.wav,5864.93517583521
o,220108036_o_1.wav,220108036_o_19.wav,6236.13390523318
o,220108036_o_1.wav,220108036_o_2.wav,6057.94017146257
o,220108036_o_1.wav,220108036_o_20.wav,6721.7817929035
o,220108036_o_1.wav,220108036_o_21.wav,6874.86902751923
o,220108036_o_1.wav,220108036_o_22.wav,6731.65999780997
o,220108036_o_1.wav,220108036_o_23.wav,6603.46781680214
